Name,pieces
Brick Bank,2380
Volkswagen Beetle,1167
Big Ben,4163
Winter Holiday Train,734
XL Creative Brick Box,1600
Creative Building Set,583
Creative Building Basket,1000
Police Helicopter Chase,63
Iron Man vs. Loki,66
Snake Showdown,92
Ariel's Dolphin Carriage,70
Batman & Superman vs. Lex Luthor,164
Lost Temple,172
Stephanie's Horse Carriage,58
Emma's Ice Cream Truck,136
Mia's Vet Clinic,173
Cinderella's Carriage,116
Baby Animals,13
Savanna,18
Arctic,40
Jungle,86
Around the World,163
Horses,20
Horse Trailer,15
Little Plane,13
Police Patrol,15
Push Train,45
Backhoe Loader,19
Truck & Tracked Excavator,28
Big Construction Site,67
Tow Truck,28
My First Rocket,18
My First Cars and Trucks,36
Creative Chest,70
My First Truck,29
My First Garden,25
Creative Construction Basket,110
Sofia the First Magical Carriage,30
Miles' Space Adventures,23
Miles' Exo-Flex Suit,37
Miles' Stellosphere Hangar,44
Mickey & Friends Beach House,48
Doc McStuffins' Pet Vet Care,30
Mickey's Workshop,18
My First Caterpillar,19
City: Build Your Own Adventure parts,92
LEGO Star Wars: Build Your Own Adventure,73
Venice,212
Berlin,289
New York City,598
Buckingham Palace,780
United States Capitol Building,1032
Burj Khalifa,333
The Iron Golem,208
The End Portal,559
The Jungle Tree House,706
The Wither,318
The Fortress,984
The Village,1600
Maze,769
The Beatles Yellow Submarine,553
Caterham Seven 620R,771
First Order Star Destroyer,56
Poe's X-wing Fighter,64
Kylo Ren's Command Shuttle,43
Duck,4
Wildlife {Random bag},7
Wildlife - Polar Bear,
Wildlife - Penguin,
Wildlife - Tortoise,
Wildlife - Lion Cub,
Wildlife - Elephant,
Prison Island Helicopter,46
Fire Car,53
